EventType,EventDate,HasSafetyRec,Mode,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,EngineType,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,BroadPhaseofFlight,ReportStatus,MostRecentReportType
ACC,2022-10-15T20:10:00Z,False,Aviation,1/18/2023 0:00,,0.0,0.0,0.0,0.0,CIRRUS,SR22,AIR,CKI,false,1,REC,BUS,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-10-15T16:00:00Z,False,Aviation,1/9/2023 0:00,,0.0,0.0,0.0,0.0,PROGRESSIVE AERODYNE INC,SeaRey,AIR,,true,1,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final
ACC,2022-10-15T15:48:00Z,False,Aviation,11/26/2024 0:00,,0.0,0.0,0.0,0.0,DIAMOND AIRCRAFT IND INC,DA 62,AIR,RBD,false,2,REC,PERS,091,Substantial,VMC,Approach,Completed,Final
ACC,2022-10-15T15:33:00Z,False,Aviation,1/9/2023 0:00,,0.0,0.0,0.0,0.0,BOEING,A75N1(PT17),AIR,O69,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-10-15T13:00:00Z,False,Aviation,9/8/2023 0:00,,0.0,0.0,0.0,0.0,PIPER,PA-30,AIR,RYN,false,2,REC,PERS,091,Substantial,VMC,Approach,Completed,Final
ACC,2022-10-15T10:02:00Z,False,Aviation,1/26/2023 0:00,,0.0,0.0,0.0,0.0,AEROPRAKT MANUFACTURING SP ZOO,A22LS,AIR,KPRC,false,1,REC,FLTS,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-10-15T09:30:00Z,False,Aviation,5/16/2024 0:00,,0.0,0.0,0.0,0.0,MOONEY,M20E,AIR,L41,false,1,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final
INC,2022-10-15T04:00:00Z,False,Aviation,,,0.0,0.0,0.0,0.0,BELL,206,HELI,,false,,,,NUSN,,,Taxi,,Prelim
ACC,2022-10-15T02:00:00Z,False,Aviation,2/23/2023 0:00,,0.0,0.0,0.0,0.0,CESSNA,172P,AIR,EKX,false,1,REC,INST,091,Substantial,VMC,Taxi,Completed,Final
ACC,2022-10-14T20:05:00Z,False,Aviation,1/9/2023 0:00,,0.0,0.0,0.0,0.0,PIPER,J3F-60,AIR,,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-10-14T18:11:00Z,False,Aviation,6/6/2023 0:00,Minor,0.0,0.0,1.0,1.0,ROBINSON HELICOPTER,R44,HELI,DAB,false,1,REC,FERY,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-10-14T17:30:00Z,False,Aviation,6/6/2023 0:00,,0.0,0.0,0.0,0.0,MCGLAUGHLIN RICHARD,SPORTSMAN GS2,AIR,,true,1,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final
ACC,2022-10-14T17:00:00Z,False,Aviation,6/6/2023 0:00,,0.0,0.0,0.0,0.0,PIPER,PA-28,AIR,MGM,false,1,REC,INST,091,Substantial,VMC,Landing,Completed,Final
INC,2022-10-14T16:20:00Z,False,Aviation,,,0.0,0.0,0.0,0.0,CESSNA,402,AIR,SKBS,false,2,,,NUSC,,,Approach,,Prelim
ACC,2022-10-14T16:15:00Z,False,Aviation,6/6/2023 0:00,,0.0,0.0,0.0,0.0,HOWARD AIRCRAFT,DGA-15P,AIR,2M2,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-10-14T15:43:00Z,False,Aviation,8/16/2023 0:00,,0.0,0.0,0.0,0.0,Quickie,Q2,AIR,LAR,true,1,REC,FERY,091,Substantial,VMC,Enroute,Completed,Final
INC,2022-10-14T14:18:00Z,False,Aviation,,,,,,,BOEING,787-9,AIR,,false,2,,,129,Minor,,Enroute,,Prelim
ACC,2022-10-14T11:27:00Z,False,Aviation,6/6/2023 0:00,,0.0,0.0,0.0,0.0,GULFSTREAM AMERICAN CORP,AA-5A,AIR,DKX,false,1,REC,INST,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-10-13T18:00:00Z,False,Aviation,6/6/2023 0:00,,0.0,0.0,0.0,0.0,AERO COMMANDER,100,AIR,X50,false,1,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final
ACC,2022-10-13T16:00:00Z,False,Aviation,12/20/2022 0:00,,0.0,0.0,0.0,0.0,BEECH,B-60,AIR,1F0,false,2,REC,PERS,091,Substantial,VMC,Taxi,Completed,Final
ACC,2022-10-13T10:30:00Z,False,Aviation,8/31/2023 0:00,,0.0,0.0,0.0,0.0,CESSNA,310,AIR,7G8,false,2,REC,FERY,135,Substantial,IMC,Enroute,Completed,Final
ACC,2022-10-13T04:00:00Z,False,Aviation,,Fatal,1.0,0.0,0.0,1.0,CESSNA,172,AIR,,false,,,,NUSN,Substantial,,Landing,,Prelim
